logical_id,family,variant,level,run,quantity,classification,print_orientation_note,zero_structural_credit,zero_credit_scope,provisional_status,position_local_mm,interface_ref,level_independent
lower::long_wall_5ft::arcade_half::01,arcade_half,through_left_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,31.4325,lower::long_wall_5ft::deck_cassette::01,True
lower::long_wall_5ft::arcade_half::02,arcade_half,through_right_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::deck_cassette::02,True
lower::long_wall_5ft::arcade_half::03,arcade_half,through_left_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::deck_cassette::03,True
lower::long_wall_5ft::arcade_half::04,arcade_half,through_right_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::deck_cassette::04,True
lower::long_wall_5ft::arcade_half::05,arcade_half,through_left_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,515.3025,lower::long_wall_5ft::deck_cassette::05,True
lower::long_wall_5ft::arcade_half::06,arcade_half,through_right_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::deck_cassette::06,True
lower::long_wall_5ft::arcade_half::07,arcade_half,through_left_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,757.2375,lower::long_wall_5ft::deck_cassette::07,True
lower::long_wall_5ft::arcade_half::08,arcade_half,through_right_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::deck_cassette::08,True
lower::long_wall_5ft::arcade_half::09,arcade_half,through_left_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,999.1725,lower::long_wall_5ft::deck_cassette::09,True
lower::long_wall_5ft::arcade_half::10,arcade_half,through_right_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::deck_cassette::10,True
lower::long_wall_5ft::arcade_half::11,arcade_half,through_left_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1241.1075,lower::long_wall_5ft::deck_cassette::11,True
lower::long_wall_5ft::arcade_half::12,arcade_half,through_right_half,lower,long_wall_5ft,1,structural,broad arcade elevation face on the build plate,False,,PROVISIONAL_EXPERIMENTAL_UNRATED,1483.0425,lower::long_wall_5ft::deck_cassette::12,True
lower::long_wall_5ft::cassette_lock::support_01_left_slot,cassette_lock,through_start_left_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,31.4325,lower::long_wall_5ft::structural_pier_x_corbel::01,True
lower::long_wall_5ft::cassette_lock::support_01_right_slot,cassette_lock,through_start_right_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,31.4325,lower::long_wall_5ft::structural_pier_x_corbel::01,True
lower::long_wall_5ft::cassette_lock::support_02_left_slot,cassette_lock,through_interior_left_slot,lower,long_wall_5ft,1,retention,largest flat lock face on the build plate,True,cassette-to-integral-cap retention only; no independent load rating,PROVISIONAL_EXPERIMENTAL_UNRATED,273.3675,lower::long_wall_5ft::structural_pier_x_corbel::02,True
