part,quantity,finished size,material / product basis,notes
3 ft wall shelf structural deck,1,27.125 x 8.000 in,23/32 in cabinet-grade veneer-core plywood,stations 8.750-35.875 in from inside-corner datum; FIELD VERIFY before cutting
3 ft wall shelf continuous front stiffener,1,27.125 in,1 x 1 x 1/8 in continuous steel angle,"continuous within this deck; through-run corner segment remains hidden behind the return, and the return end is field-trimmed to clear the through angle; do not credit the corner contact as a splice"
3 ft wall shelf wall standard,3,39 in,KV 82 Series double-slot steel wall standard or an equivalently documented complete system,one standard per verified stud/blocking line; nominal drawing positions are not drill coordinates
3 ft wall shelf steel shelf bracket,3,7 in bracket for 8 in shelf,KV 182 Series 7 in steel bracket for an 8 in shelf or an equivalently documented complete system,include bracket lock and manufacturer-prescribed shelf attachment
3 ft wall shelf PETG top center module,6,151.800 x 101.300 x 2.4 mm,SUNLU clear PETG,reusable universal 6 in-pitch center; nonstructural finish
3 ft wall shelf PETG top parametric end module,4,116.081 x 101.300 x 2.4 mm,SUNLU clear PETG,two ends per row; common corner seam is 0.6 mm; inner tile overhang into the wood gap is 1.0 mm; regenerate after field changes
3 ft wall shelf Triadic Palatine arcade/fascia left half,3,113.827 x 170.056 x 29.0 mm,SUNLU clear PETG,"3 complete bays on this arm; captured channel, 3:4:5 spandrel void, segmental archivolt, fluted pier with base/capital, and no steel-angle drilling; nonstructural"
3 ft wall shelf Triadic Palatine arcade/fascia right half,3,113.827 x 170.056 x 29.0 mm,SUNLU clear PETG,"3 complete bays on this arm; captured channel, 3:4:5 spandrel void, segmental archivolt, fluted pier with base/capital, and no steel-angle drilling; nonstructural"
3 ft wall shelf removable Palatine entablature overlay,6,113.827 x 24.0 mm,SUNLU clear PETG,"one per half arch; nine dentils, three triglyph groups, three-order cornice, and central patera; qualify one removable silicone dot and retain to its own segment only"
3 ft wall shelf PETG rear-curb center module,3,151.800 mm module,SUNLU clear PETG,reusable universal center; return curb begins on its own plywood at station 8.750 in; no PETG curb crosses the wood joint; nonstructural
3 ft wall shelf PETG rear-curb parametric end module,2,115.581 mm module,SUNLU clear PETG,"one generated clearance slot; field-drill the matching top tile only after layout, then use a short nonstructural screw with bottom clearance; regenerate when field width changes"
5 ft wall shelf structural deck,1,60.688 x 8.000 in,23/32 in cabinet-grade veneer-core plywood,stations 0.688-61.375 in from inside-corner datum; FIELD VERIFY before cutting
5 ft wall shelf continuous front stiffener,1,60.688 in,1 x 1 x 1/8 in continuous steel angle,"continuous within this deck; through-run corner segment remains hidden behind the return, and the return end is field-trimmed to clear the through angle; do not credit the corner contact as a splice"
5 ft wall shelf wall standard,5,39 in,KV 82 Series double-slot steel wall standard or an equivalently documented complete system,one standard per verified stud/blocking line; nominal drawing positions are not drill coordinates
5 ft wall shelf steel shelf bracket,5,7 in bracket for 8 in shelf,KV 182 Series 7 in steel bracket for an 8 in shelf or an equivalently documented complete system,include bracket lock and manufacturer-prescribed shelf attachment
5 ft wall shelf PETG top center module,14,151.800 x 101.300 x 2.4 mm,SUNLU clear PETG,reusable universal 6 in-pitch center; nonstructural finish
5 ft wall shelf PETG top parametric end module,4,135.131 x 101.300 x 2.4 mm,SUNLU clear PETG,two ends per row; common corner seam is 0.6 mm; inner tile overhang into the wood gap is 0.0 mm; regenerate after field changes
Through-owned PETG top corner quadrant,4,101.300 x 101.300 x 2.4 mm,SUNLU clear PETG,four identical pieces cover the 8 x 8 in through-deck corner square; near-square mating corners minimize the center seam opening
5 ft wall shelf Triadic Palatine arcade/fascia left half,6,110.722 x 170.056 x 29.0 mm,SUNLU clear PETG,"6 complete bays on this arm; captured channel, 3:4:5 spandrel void, segmental archivolt, fluted pier with base/capital, and no steel-angle drilling; nonstructural"
5 ft wall shelf Triadic Palatine arcade/fascia right half,6,110.722 x 170.056 x 29.0 mm,SUNLU clear PETG,"6 complete bays on this arm; captured channel, 3:4:5 spandrel void, segmental archivolt, fluted pier with base/capital, and no steel-angle drilling; nonstructural"
5 ft wall shelf removable Palatine entablature overlay,12,110.722 x 24.0 mm,SUNLU clear PETG,"one per half arch; nine dentils, three triglyph groups, three-order cornice, and central patera; qualify one removable silicone dot and retain to its own segment only"
5 ft wall shelf PETG rear-curb center module,8,151.800 mm module,SUNLU clear PETG,reusable universal center; straight long-wall curb begins at station 1.892 in after the fitted corner replacement; nonstructural
5 ft wall shelf PETG rear-curb parametric end module,2,145.531 mm module,SUNLU clear PETG,"one generated clearance slot; field-drill the matching top tile only after layout, then use a short nonstructural screw with bottom clearance; regenerate when field width changes"
Through-owned short-wall rear-curb corner-side piece,1,172.600 mm,SUNLU clear PETG,"rests on the PETG tile/plywood stack over the through-deck corner square, stops before the plywood joint, and has one generated clearance slot; nonstructural"
Optional inside-corner underside alignment kit,1 if field fit requires,field fitted after bracket dry-fit,nonprinted slotted steel plates and mechanical fasteners,alignment only; does not replace either run's independent brackets and is not a load-rating basis
Triadic Palatine keystone seam cover,9,18.0 x 24.0 mm,SUNLU clear PETG,one per arch; retain to one half only so the opposite half can float across the 0.6 mm seam
Palatine full-height fascia endcap,2,170.056 mm tall x 3.0 mm,SUNLU clear PETG,one at each exposed outer end; straight fascia length already reserves its thickness
Palatine re-entrant-corner pilaster slip cover,1,18 mm legs x 170.056 mm tall,SUNLU clear PETG,fix one upper leg only and let the perpendicular leg float; no structural function
Palatine groin-vault corner soffit,1,42.0 mm square,SUNLU clear PETG,mount only beneath the through-owned corner square; keep the generated bracket clearance and never bridge the plywood joint
